"nazwisko","party","votes_2007","votes_2011","percent_2007","percent_2011","position_2007","position_2011","mandate_2007","mandate_2011","district","l_os_lista2007","l_os_lista2011","o_ile","o_ile_procent","id","gender","mandat_2007","liczba","liczba_osob","partia_dummy","position_change_new"
"CZARNECKI Witold",1,18137,10201,20.83,3.89,1,1,1,1,37,17,18,0,-16.94,101,0,1,1,136,1,0
"NOWAK Tomasz Piotr",2,28279,24346,27.8,9.3,1,1,1,1,37,18,18,0,-18.5,231,0,1,1,136,0,0
"PIECHOTA Sławomir Jan",2,13345,11750,2.4,2.37,3,3,1,1,3,28,28,0,-0.0299999999999998,415,0,1,1,136,0,0
"MALIK Ewa",1,32231,25214,39.61,8.99,1,1,1,1,32,18,18,0,-30.62,72,1,1,1,136,1,0
"SZWED Stanisław",1,42604,32416,34.89,10.41,1,1,1,1,27,18,18,0,-24.48,46,0,1,1,136,1,0
"STANKE Piotr Jerzy",1,8824,8764,5.69,1.93,6,6,1,2,26,28,28,0,-3.76,39,0,1,1,136,1,0
"TERLECKI Ryszard",1,4246,14726,0.76,2.91,3,3,1,1,13,26,28,0,2.15,333,0,1,1,136,1,0
"WÓJCIK Marek Krzysztof",2,8870,10753,3.83,2.67,5,5,1,1,31,23,24,0,-1.16,196,0,1,1,136,0,0
"GOSIEWSKA Małgorzata Maria",1,1776,8129,0.15,0.8,3,3,2,1,19,38,40,0,0.65,384,1,0,1,136,1,0
"KACZYŃSKI Jarosław Aleksander",1,273684,202297,23.88,19.88,1,1,1,1,19,38,40,0,-4,383,0,1,1,136,1,0
"PODMOKŁY Jerzy",1,3615,4510,5.57,1.73,4,4,2,2,38,18,18,0,-3.84,107,0,0,1,136,1,0
"SADEK Iwona Józefa",2,2490,1239,2.42,0.55,6,6,2,2,28,14,14,0,-1.87,177,1,0,1,136,0,0
"NOWAK Sławomir Ryszard",2,65993,65629,25.57,15.8,1,1,1,1,25,24,24,0,-9.77,155,0,1,1,136,0,0
